journal	abbreviation	impact_factor
ACADEMY OF MANAGEMENT JOURNAL	ACAD MANAGE J	12.8
Academy of Management Learning & Education	ACAD MANAG LEARN EDU	7.4
Academy of Management Perspectives	ACAD MANAGE PERSPECT	6.9
ACADEMY OF MANAGEMENT REVIEW	ACAD MANAGE REV	13.8
Academy Review	ACAD REV	0.4
ACAROLOGIA	ACAROLOGIA	1.2
Access to Justice in Eastern Europe	ACCESS JUSTICE E EUR	0.5
ACCESS-Access to science business innovation in the digital economy	ACCESS-ACCESS SCI BU	1.3
ACCIDENT ANALYSIS AND PREVENTION	ACCIDENT ANAL PREV	7.4
Accion Psicologica	ACCION PSICOL	0.7
Acciones e Investigaciones Sociales	ACCIONES INVEST SOC	0.3
Accountability in Research-Ethics Integrity and Policy	ACCOUNT RES	4.4
ACCOUNTING AND BUSINESS RESEARCH	ACCOUNT BUS RES	2.5
Accounting and Finance	ACCOUNT FINANC	2.6
Accounting Auditing & Accountability Journal	ACCOUNT AUDIT ACCOUN	2.7
Accounting Economics and Law-A Convivium	ACCOUNT ECON LAW	0.9
Accounting Education	ACCOUNT EDUC	2.5
Accounting Forum	ACCOUNT FORUM	4.1
Accounting Historians Journal	ACCOUNT HIST J	1.4
Accounting History	ACCOUNT HIST	1.2
Accounting History Review	ACCOUNT HIST REV	0.8
Accounting Horizons	ACCOUNT HORIZ	2.5
Accounting in Europe	ACCOUNT EUR	7.6
ACCOUNTING ORGANIZATIONS AND SOCIETY	ACCOUNT ORG SOC	4.5
Accounting Perspectives	ACCOUNT PERSPECT	1.1
Accounting Research Journal	ACCOUNT RES J	3.3
ACCOUNTING REVIEW	ACCOUNT REV	4
ACCOUNTS OF CHEMICAL RESEARCH	ACCOUNTS CHEM RES	18
Accounts of Materials Research	ACCOUNTS MATER RES	14.1
ACCREDITATION AND QUALITY ASSURANCE	ACCREDIT QUAL ASSUR	1.1
ACE-Architecture City and Environment	ACE-ARCHIT CITY ENVI	0.9
ACERVO	ACERVO-BRAZIL	0.1
ACG Case Reports Journal	ACG CASE REP J	0.6
ACI MATERIALS JOURNAL	ACI MATER J	1.5
ACI STRUCTURAL JOURNAL	ACI STRUCT J	1.1
ACM Communications in Computer Algebra	ACM COMMUN COMPUT AL	0.3
ACM COMPUTING SURVEYS	ACM COMPUT SURV	30.4
ACM Journal of Data and Information Quality	ACM J DATA INF QUAL	5
ACM Journal on Computing and Cultural Heritage	ACM J COMPUT CULT HE	3.1
ACM Journal on Emerging Technologies in Computing Systems	ACM J EMERG TECH COM	2.3
ACM SIGCOMM Computer Communication Review	ACM SIGCOMM COMP COM	3.5
ACM SIGecom Exchanges	ACM SIGECOM EXCH	0.9
ACM Transactions on Accessible Computing	ACM T ACCESS COMPUT	3.6
ACM Transactions on Algorithms	ACM T ALGORITHMS	1.4
ACM Transactions on Applied Perception	ACM T APPL PERCEPT	2.5
ACM Transactions on Architecture and Code Optimization	ACM T ARCHIT CODE OP	2.9
ACM Transactions on Asian and Low-Resource Language Information Processing	ACM T ASIAN LOW-RESO	2.7
ACM Transactions on Autonomous and Adaptive Systems	ACM T AUTON ADAP SYS	5.2
ACM Transactions on Computation Theory	ACM T COMPUT THEORY	0.8
ACM Transactions on Computational Logic	ACM T COMPUT LOG	1.1
ACM TRANSACTIONS ON COMPUTER SYSTEMS	ACM T COMPUT SYST	1.9
ACM Transactions on Computer-Human Interaction	ACM T COMPUT-HUM INT	9.6
ACM Transactions on Computing Education	ACM T COMPUT EDUC	4
ACM Transactions on Computing for Healthcare	ACM T COMPUT HEALTHC	4
ACM Transactions on Cyber-Physical Systems	ACM TRANS CYBER-PHYS	3.3
ACM TRANSACTIONS ON DATABASE SYSTEMS	ACM T DATABASE SYST	1.6
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS	ACM T DES AUTOMAT EL	2.8
ACM Transactions on Economics and Computation	ACM T ECON COMPUT	1.3
ACM Transactions on Embedded Computing Systems	ACM T EMBED COMPUT S	3.6
ACM TRANSACTIONS ON GRAPHICS	ACM T GRAPHIC	13
ACM Transactions on Human-Robot Interaction	ACM T HUM-ROBOT INTE	7
ACM TRANSACTIONS ON INFORMATION SYSTEMS	ACM T INFORM SYST	11.2
ACM Transactions on Intelligent Systems and Technology	ACM T INTEL SYST TEC	10.7
ACM Transactions on Interactive Intelligent Systems	ACM T INTERACT INTEL	6.4
ACM Transactions on Internet of Things	ACM T INTERNET THING	4.3
ACM Transactions on Internet Technology	ACM T INTERNET TECHN	5.1
ACM Transactions on Knowledge Discovery from Data	ACM T KNOWL DISCOV D	6.9
ACM Transactions on Management Information Systems	ACM TRANS MANAG INF	5.2
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE	ACM T MATH SOFTWARE	2
ACM Transactions on Modeling and Computer Simulation	ACM T MODEL COMPUT S	1.4
ACM Transactions on Modeling and Performance Evaluation of Computing Systems	ACM TRANS MODELING P	1.7
ACM Transactions on Multimedia Computing Communications and Applications	ACM T MULTIM COMPUT	5.6
ACM Transactions on Parallel Computing	ACM TRANS PARALLEL C	1.7
ACM Transactions on Privacy and Security	ACM T PRIV SECUR	4
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS	ACM T PROGR LANG SYS	2.9
ACM Transactions on Quantum Computing	ACM T QUANTUM COMPUT	6.1
ACM Transactions on Reconfigurable Technology and Systems	ACM T RECONFIG TECHN	3
ACM Transactions on Sensor Networks	ACM T SENSOR NETWORK	4.7
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY	ACM T SOFTW ENG METH	6.9
ACM Transactions on Spatial Algorithms and Systems	ACM TRANS SPAT ALGOR	2.9
ACM Transactions on Storage	ACM T STORAGE	3.6
ACM Transactions on the Web	ACM T WEB	4.9
ACOUSTICAL PHYSICS	ACOUST PHYS+	0.9
Acoustical Science and Technology	ACOUST SCI TECHNOL	0.9
Acoustics	ACOUSTICS-BASEL	1.5
Acoustics Australia	ACOUST AUST	1.3
Acque Sotterranee-Italian Journal of Groundwater	ACQUE SOTTER	1.7
ACR Open Rheumatology	ACR OPEN RHEUMATOL	2.9
Across Languages and Cultures	ACROSS LANG CULT	0.9
ACS Agricultural Science & Technology	ACS AGR SCI TECHNOL	3.4
ACS Applied Bio Materials	ACS APPL BIO MATER	5.6
ACS Applied Electronic Materials	ACS APPL ELECTRON MA	4.7
ACS Applied Energy Materials	ACS APPL ENERG MATER	5.5
ACS Applied Engineering Materials	ACS APPL ENG MATER	3.5
ACS Applied Materials & Interfaces	ACS APPL MATER INTER	7.8
ACS Applied Nano Materials	ACS APPL NANO MATER	5.8
ACS Applied Optical Materials	ACS APPL OPT MATER	3.4
ACS Applied Polymer Materials	ACS APPL POLYM MATER	5.2
ACS Bio & Med Chem Au	ACS BIO MED CHEM AU	3.5
ACS Biomaterials Science & Engineering	ACS BIOMATER SCI ENG	6
ACS Catalysis	ACS CATAL	13.6
ACS Central Science	ACS CENTRAL SCI	11.1
ACS Chemical Biology	ACS CHEM BIOL	3.6
ACS Chemical Health & Safety	ACS CHEM HEALTH SAFE	3.8
ACS Chemical Neuroscience	ACS CHEM NEUROSCI	4.5
ACS Earth and Space Chemistry	ACS EARTH SPACE CHEM	2.6
ACS Energy Letters	ACS ENERGY LETT	17.5
ACS Engineering Au	ACS ENG AU	9
ACS Environmental Au	ACS ENVIRON AU	9.6
ACS ES&T Engineering	ACS EST ENG	6.3
ACS ES&T Water	ACS EST WATER	4.5
ACS Food Science & Technology	ACS FOOD SCI TECHNOL	3
ACS Infectious Diseases	ACS INFECT DIS	4.5
ACS Macro Letters	ACS MACRO LETT	4.9
ACS Materials Au	ACS MATER AU	9.1
ACS Materials Letters	ACS MATER LETT	8.6
ACS Measurement Science Au	ACS MEAS SCI AU	14.7
ACS Medicinal Chemistry Letters	ACS MED CHEM LETT	3.9
ACS Nano	ACS NANO	17.3
ACS Nanoscience Au	ACS NANOSCI AU	7.5
ACS Omega	ACS OMEGA	5.2
ACS Organic & Inorganic Au	ACS ORG INORG AU	5.2
ACS Pharmacology & Translational Science	ACS PHARMACOL TRANSL	4
ACS Photonics	ACS PHOTONICS	6
ACS Physical Chemistry Au	ACS PHYS CHEM AU	4.8
ACS Polymers Au	ACS POLYM AU	6.7
ACS Sensors	ACS SENSORS	10.9
ACS Sustainable Chemistry & Engineering	ACS SUSTAIN CHEM ENG	7.6
ACS Synthetic Biology	ACS SYNTH BIOL	4.5
ACSMS HEALTH & FITNESS JOURNAL	ACSMS HEALTH FIT J	1.9
ACTA ACUSTICA	ACTA ACUST	1.4
ACTA ADRIATICA	ACTA ADRIAT	1.3
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE	ACTA AGR SCAND A-AN	1.5
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE	ACTA AGR SCAND B-S P	1.6
ACTA AGROBOTANICA	ACTA AGROBOT	0.8
ACTA ALIMENTARIA	ACTA ALIMENT HUNG	1.8
ACTA AMAZONICA	ACTA AMAZON	1.6
ACTA ANAESTHESIOLOGICA BELGICA	ACTA ANAESTH BELG	0.4
ACTA ANAESTHESIOLOGICA SCANDINAVICA	ACTA ANAESTH SCAND	1.9
Acta Analytica-International Periodical for Philosophy in the Analytical Tradition	ACTA ANAL	0.4
Acta Angiologica	ACTA ANGIOL	0.4
ACTA APPLICANDAE MATHEMATICAE	ACTA APPL MATH	1.3
ACTA ARCHAEOLOGICA	ACTA ARCHAEOL-DEN	0.6
ACTA ARITHMETICA	ACTA ARITH	0.5
ACTA ASTRONAUTICA	ACTA ASTRONAUT	3.7
ACTA ASTRONOMICA	ACTA ASTRONOM	1.4
Acta Balneologica	ACTA BALNEOL	0.6
ACTA BIOCHIMICA ET BIOPHYSICA SINICA	ACTA BIOCH BIOPH SIN	4.5
ACTA BIOCHIMICA POLONICA	ACTA BIOCHIM POL	2.2
Acta Bioclinica	ACTA BIOCLINICA	0.1
Acta Bioethica	ACTA BIOETH	0.2
ACTA BIOLOGICA COLOMBIANA	ACTA BIOL COLOMB	0.4
Acta Biomaterialia	ACTA BIOMATER	10.4
ACTA BIOTHEORETICA	ACTA BIOTHEOR	1.3
Acta Borealia	ACTA BOREAL	1
Acta Botanica Brasilica	ACTA BOT BRAS	1.3
ACTA BOTANICA CROATICA	ACTA BOT CROAT	1
Acta Botanica Mexicana	ACTA BOT MEX	1.1
ACTA CARDIOLOGICA	ACTA CARDIOL	4
Acta Cardiologica Sinica	ACTA CARDIOL SIN	1.9
ACTA CARSOLOGICA	ACTA CARSOLOGICA	0.6
Acta Chemica Iasi	ACTA CHEM IASI	0.4
ACTA CHIMICA SINICA	ACTA CHIM SINICA	2.3
Acta Chimica Slovaca	ACTA CHIM SLOVACA	1
ACTA CHIMICA SLOVENICA	ACTA CHIM SLOV	1.2
ACTA CHIROPTEROLOGICA	ACTA CHIROPTEROL	1.5
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca	ACTA CHIR ORTHOP TR	0.6
ACTA CHIRURGICA BELGICA	ACTA CHIR BELG	0.9
ACTA CHROMATOGRAPHICA	ACTA CHROMATOGR	1.2
Acta Cirurgica Brasileira	ACTA CIR BRAS	1.6
ACTA CLINICA BELGICA	ACTA CLIN BELG	1.4
Acta Clinica Croatica	ACTA CLIN CROAT	0.5
Acta Colombiana de Psicologia	ACTA COLOMB PSICOL	0.7
Acta Crystallographica A-Foundation and Advances	ACTA CRYSTALLOGR A	2.1
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials	ACTA CRYSTALLOGR B	2.5
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY	ACTA CRYSTALLOGR C	1.1
Acta Crystallographica Section D-Structural Biology	ACTA CRYSTALLOGR D	4.3
Acta Crystallographica Section E-Crystallographic Communications	ACTA CRYSTALLOGR E	0.5
Acta Crystallographica Section F-Structural Biology Communications	ACTA CRYSTALLOGR F	1.1
Acta Cybernetica	ACTA CYBERN	0.7
ACTA CYTOLOGICA	ACTA CYTOL	1.5
ACTA DERMATO-VENEREOLOGICA	ACTA DERM-VENEREOL	3.8
Acta Dermatovenerologica Alpina Pannonica et Adriatica	ACTA DERMATOVEN ALP	1
Acta Dermatovenerologica Croatica	ACTA DERMATOVENER CR	0.6
ACTA DIABETOLOGICA	ACTA DIABETOL	3.1
Acta Ecologica Sinica	ACTA ECOL SINICA	14.2
Acta Endocrinologica-Bucharest	ACTA ENDOCRINOL-BUCH	0.8
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE	ACTA ENT MUS NAT PRA	0.8
Acta Epileptologica	ACTA EPILEPTOL	2.6
Acta et Commentationes Universitatis Tartuensis de Mathematica	ACTA COMMENT UNIV TA	0.5
ACTA ETHOLOGICA	ACTA ETHOL	1.3
Acta Facultatis Medicae Naissensis	ACTA FAC MEDICAE NAI	0.1
Acta Facultatis Xylologiae Zvolen	ACTA FAC XYLOLOG ZVO	0.7
ACTA GASTRO-ENTEROLOGICA BELGICA	ACTA GASTRO-ENT BELG	1.2
Acta Geochimica	ACTA GEOCHIM	1.4
Acta Geodaetica et Geophysica	ACTA GEOD GEOPHYS	2.6
Acta Geodynamica et Geomaterialia	ACTA GEODYN GEOMATER	0.9
Acta Geographica Slovenica-Geografski Zbornik	ACTA GEOGR SLOV	1.6
ACTA GEOLOGICA POLONICA	ACTA GEOL POL	0.9
ACTA GEOLOGICA SINICA-ENGLISH EDITION	ACTA GEOL SIN-ENGL	2.1
Acta Geophysica	ACTA GEOPHYS	2.4
Acta Geotechnica	ACTA GEOTECH	6.5
Acta Germanica-German studies in Africa	ACTA GER	0.1
Acta Gymnica	ACTA GYMNICA	0.9
ACTA HAEMATOLOGICA	ACTA HAEMATOL-BASEL	2.8
ACTA HAEMATOLOGICA POLONICA	ACTA HAEMATOL POL	0.6
Acta Herpetologica	ACTA HERPETOL	1
ACTA HISTOCHEMICA	ACTA HISTOCHEM	2.9
ACTA HISTOCHEMICA ET CYTOCHEMICA	ACTA HISTOCHEM CYTOC	1.9
Acta Historica Tallinnensia	ACTA HIST TALLINENSI	0.5
Acta Historica Universitatis Klaipedensis	ACTA HIST U KLAIPDEN	0.1
Acta Histriae	ACTA HISTRIAE	0.4
ACTA ICHTHYOLOGICA ET PISCATORIA	ACTA ICHTHYOL PISCAT	1.3
Acta IMEKO	ACTA IMEKO	0.9
Acta Infologica	ACTA INFOLOGICA	0.6
ACTA INFORMATICA	ACTA INFORM	1.2
Acta Informatica Pragensia	ACTA INFORM PRAG	1.5
Acta Kinesiologica	ACTA KINESIOL	2.4
Acta Koreana	ACTA KOREANA	0.2
Acta Linguistica Academica	ACTA LINGUIST ACAD	0.3
Acta Literaria	ACTA LIT	0.1
Acta Logistica	ACTA LOGISTICA	1
ACTA MATERIALIA	ACTA MATER	10.7
ACTA MATHEMATICA	ACTA MATH-DJURSHOLM	7.3
ACTA MATHEMATICA HUNGARICA	ACTA MATH HUNG	0.6
ACTA MATHEMATICA SCIENTIA	ACTA MATH SCI	1
ACTA MATHEMATICA SINICA-ENGLISH SERIES	ACTA MATH SIN	0.9
Acta Mathematica Universitatis Comenianae	ACTA MATH UNIV COMEN	0.6
Acta Mathematica Vietnamica	ACTA MATH VIETNAM	0.6
Acta Mathematicae Applicatae Sinica-English Series	ACTA MATH APPL SIN-E	0.9
ACTA MECHANICA	ACTA MECH	4
Acta Mechanica et Automatica	ACTA MECH AUTOMATICA	1.3
ACTA MECHANICA SINICA	ACTA MECH SINICA-PRC	4
ACTA MECHANICA SOLIDA SINICA	ACTA MECH SOLIDA SIN	2.6
Acta Medica Indonesiana	ACTA MED INDONES	0.6
Acta Medica Lituanica	ACTA MED LITUANICA	0.6
ACTA MEDICA OKAYAMA	ACTA MED OKAYAMA	0.8
Acta Medica Portuguesa	ACTA MEDICA PORT	1.2
Acta Medico-Historica Adriatica	ACTA MED-HIST ADRIAT	0.1
ACTA METALLURGICA SINICA	ACTA METALL SIN	2.2
Acta Metallurgica Sinica-English Letters	ACTA METALL SIN-ENGL	4.2
Acta Metallurgica Slovaca	ACTA METALL SLOVACA	1.7
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA	ACTA MICROBIOL IMM H	1.5
Acta Montanistica Slovaca	ACTA MONTAN SLOVACA	0.7
Acta Naturae	ACTA NATURAE	1.5
Acta Neophilologica	ACTA NEOPHILOL	0.1
ACTA NEUROBIOLOGIAE EXPERIMENTALIS	ACTA NEUROBIOL EXP	1.9
ACTA NEUROCHIRURGICA	ACTA NEUROCHIR	1.9
ACTA NEUROLOGICA BELGICA	ACTA NEUROL BELG	2
ACTA NEUROLOGICA SCANDINAVICA	ACTA NEUROL SCAND	1.1
ACTA NEUROPATHOLOGICA	ACTA NEUROPATHOL	10.3
Acta Neuropathologica Communications	ACTA NEUROPATHOL COM	6.5
ACTA NEUROPSYCHIATRICA	ACTA NEUROPSYCHIATR	2.4
Acta Neuropsychologica	ACTA NEUROPSYCHOL	1.2
ACTA NUMERICA	ACTA NUMER	12.8
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA	ACTA OBSTET GYN SCAN	3.5
ACTA OCEANOLOGICA SINICA	ACTA OCEANOL SIN	1.4
ACTA ODONTOLOGICA SCANDINAVICA	ACTA ODONTOL SCAND	1.7
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY	ACTA OECOL	1.8
ACTA OECONOMICA	ACTA OECON	0.4
Acta of Bioengineering and Biomechanics	ACTA BIOENG BIOMECH	1
ACTA ONCOLOGICA	ACTA ONCOL	2.7
ACTA OPHTHALMOLOGICA	ACTA OPHTHALMOL	3
ACTA OPTICA SINICA	ACTA OPT SIN	1.7
Acta Orientalia Academiae Scientiarum Hungaricae	ACTA ORIENT ACAD SCI	0.2
ACTA ORNITHOLOGICA	ACTA ORNITHOL	1.2
Acta Orthopaedica	ACTA ORTHOP	3.4
Acta Orthopaedica Belgica	ACTA ORTHOP BELG	0.7
Acta Orthopaedica et Traumatologica Turcica	ACTA ORTHOP TRAUMATO	1.7
Acta Ortopedica Brasileira	ACTA ORTOP BRAS	0.6
ACTA OTO-LARYNGOLOGICA	ACTA OTO-LARYNGOL	1.3
Acta Oto-Laryngologica Case Reports	ACTA OTO-LARYNGOL CA	0.2
Acta Otorhinolaryngologica Italica	ACTA OTORHINOLARYNGO	2.2
Acta Otorrinolaringologica Espanola	ACTA OTORRINOLAR ESP	1.2
ACTA PAEDIATRICA	ACTA PAEDIATR	1.8
ACTA PALAEONTOLOGICA POLONICA	ACTA PALAEONTOL POL	1.8
ACTA PARASITOLOGICA	ACTA PARASITOL	1.5
Acta Paulista de Enfermagem	ACTA PAUL ENFERM	0.9
Acta Pediatrica de Mexico	ACTA PEDIATR MEX	0.2
ACTA PETROLOGICA SINICA	ACTA PETROL SIN	2.5
ACTA PHARMACEUTICA	ACTA PHARMACEUT	1.8
Acta Pharmaceutica Sinica B	ACTA PHARM SIN B	14.6
ACTA PHARMACOLOGICA SINICA	ACTA PHARMACOL SIN	10.4
Acta Philosophica	ACTA PHILOS	0.2
Acta Phlebologica	ACTA PHLEBOL	0.2
Acta Photonica Sinica	ACTA PHOTONICA SINIC	0.7
ACTA PHYSICA POLONICA A	ACTA PHYS POL A	0.5
ACTA PHYSICA POLONICA B	ACTA PHYS POL B	1
ACTA PHYSICA SINICA	ACTA PHYS SIN-CH ED	1
ACTA PHYSICO-CHIMICA SINICA	ACTA PHYS-CHIM SIN	13.5
ACTA PHYSIOLOGIAE PLANTARUM	ACTA PHYSIOL PLANT	2.3
Acta Physiologica	ACTA PHYSIOL	5.7
Acta Phytotaxonomica et Geobotanica	ACTA PHYTOTAX GEOBOT	0.4
Acta Poetica	ACTA POETICA	0.1
Acta Politica	ACTA POLIT	1.9
ACTA POLONIAE HISTORICA	ACTA POL HIST	0.3
ACTA POLONIAE PHARMACEUTICA	ACTA POL PHARM	0.6
ACTA POLYMERICA SINICA	ACTA POLYM SIN	1.2
Acta Polytechnica	ACTA POLYTECH	0.7
Acta Polytechnica Hungarica	ACTA POLYTECH HUNG	2.2
ACTA PROTOZOOLOGICA	ACTA PROTOZOOL	0.8
ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA	ACTA PSIQUIAT PSICOL	0.1
ACTA PSYCHIATRICA SCANDINAVICA	ACTA PSYCHIAT SCAND	4.7
ACTA PSYCHOLOGICA	ACTA PSYCHOL	3.8
Acta Psychologica Sinica	ACTA PSYCHOL SIN	1.9
ACTA RADIOLOGICA	ACTA RADIOL	1.2
Acta Radiologica Open	ACTA RADIOL OPEN	0.9
Acta Scientiae Veterinariae	ACTA SCI VET	0.2
ACTA SCIENTIARUM MATHEMATICARUM	ACTA SCI MATH	0.7
Acta Scientiarum Polonorum-Formatio Circumiectus	ACTA SCI POL-FORM C	0.9
Acta Scientiarum Polonorum-Hortorum Cultus	ACTA SCI POL-HORTORU	1
Acta Scientiarum Polonorum-Technologia Alimentaria	ACTA SCI POLON-TECHN	0.7
ACTA SCIENTIARUM-AGRONOMY	ACTA SCI-AGRON	1.2
ACTA SCIENTIARUM-HEALTH SCIENCES	ACTA SCI-HEALTH SCI	0.4
ACTA SCIENTIARUM-TECHNOLOGY	ACTA SCI-TECHNOL	0.6
Acta Silvae et Ligni	ACTA SILVAE LIGNI	0.3
ACTA SOCIETATIS BOTANICORUM POLONIAE	ACTA SOC BOT POL	1.1
ACTA SOCIOLOGICA	ACTA SOCIOL	2.1
Acta Stomatologica Croatica	ACTA STOMATOL CROAT	1.8
Acta Structilia	ACTA STRUCTILIA	1.2
Acta Technica Napocensis Series-Applied Mathematics Mechanics and Engineering	ACTA TECH NAPOC SER-	0.1
Acta Technologica Agriculturae	ACTA TECHNOL AGR	1.4
Acta Theologica	ACTA THEOL	0.2
ACTA TROPICA	ACTA TROP	2.6
Acta Turistica	ACTA TURISTICA	0.4
Acta Universitatis Lodziensis Folia Litteraria Polonica	ACTA UL FOL LITT POL	0.1
Acta Universitatis Lodziensis-Folia Iuridica	ACTA U LODZ FOLIA LU	0.1
Acta Universitatis Sapientiae Informatica	ACTA U SAPIEN INFORM	0.7
Acta Universitatis Sapientiae-Film and Media Studies	ACTA U SAPIENTIAE-FI	0.2
Acta Universitatis Sapientiae-Mathematica	ACTA U SAPIENTIAE-MA	0.6
ACTA VETERINARIA BRNO	ACTA VET BRNO	0.7
Acta Veterinaria Eurasia	ACTA VET EURASIA	0.6
ACTA VETERINARIA HUNGARICA	ACTA VET HUNG	1
ACTA VETERINARIA SCANDINAVICA	ACTA VET SCAND	2
ACTA VETERINARIA-BEOGRAD	ACTA VET-BEOGRAD	0.9
ACTA VIROLOGICA	ACTA VIROL	1.1
ACTA ZOOLOGICA	ACTA ZOOL-STOCKHOLM	1.1
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE	ACTA ZOOL ACAD SCI H	0.9
ACTA ZOOLOGICA BULGARICA	ACTA ZOOL BULGAR	0.5
Actas Dermo-Sifiliograficas	ACTAS DERMO-SIFILOGR	2.9
ACTAS ESPANOLAS DE PSIQUIATRIA	ACTAS ESP PSIQUIATRI	2.1
Actas Urologicas Espanolas	ACTAS UROL ESP	1.7
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES	ACTES RECH SCI SOC	0.5
Action Research	ACTION RES-LONDON	1.8
Active and Passive Electronic Components	ACT PASSIV ELECTRON	1.6
Active Learning in Higher Education	ACT LEARN HIGH EDUC	3.4
Activitas Nervosa Superior Rediviva	ACT NERV SUPER REDIV	0.2
Activites-Revue Electronique	ACTIVITIES	0.3
Activities Adaptation & Aging	ACT ADAPT AGING	1.6
Actualidad Juridica Ambiental	ACTUAL JURID AMBIENT	0.6
Actualidades en Psicologia	ACTUAL PSICOL	0.2
Actualites Pharmaceutiques	ACTUAL PHARMACEUT	0.1
Actuators	ACTUATORS	2.4
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH	ACUPUNCTURE ELECTRO	0.3
Acupuncture and Herbal Medicine	ACUPUNCT HERB MED	7.3
Acupuncture in Medicine	ACUPUNCT MED	2.7
Acute and Critical Care	ACUTE CRIT CARE	2.3
Acute Medicine & Surgery	ACUTE MED SURG	1.4
Ad Hoc & Sensor Wireless Networks	AD HOC SENS WIREL NE	0.4
Ad Hoc Networks	AD HOC NETW	5.4
AD-minister	AD-MINIST	0.4
Adalya	ADALYA	0.3
ADANSONIA	ADANSONIA	0.8
Adaptation-The Journal of Literature on Screen Studies	ADAPTATION-UK	0.2
ADAPTED PHYSICAL ACTIVITY QUARTERLY	ADAPT PHYS ACT Q	2.6
ADAPTIVE BEHAVIOR	ADAPT BEHAV	1.6
Adaptive Human Behavior and Physiology	ADAPT HUM BEHAV PHYS	1.6
ADCAIJ-Advances in Distributed Computing and Artificial Intelligence Journal	ADCAIJ-ADV DISTRIB C	1.2
AdComunica-Revista Cientifica de Estrategias Tendencias e Innovacion en Communicacion	ADCOMUNICA	0.4
Addicta-The Turkish Journal on Addictions	ADDICTA	0.7
ADDICTION	ADDICTION	5.9
ADDICTION BIOLOGY	ADDICT BIOL	2.6
Addiction Neuroscience	ADDICT NEUROSCI	2.4
ADDICTION RESEARCH & THEORY	ADDICT RES THEORY	2.9
